,order_id,product_id,add_to_cart_order,reordered
214306,525192,12053,1,0
214307,525192,47272,2,1
214308,525192,37999,3,1
214309,525192,13198,4,1
214310,525192,43967,5,1
214311,525192,40852,6,1
214312,525192,17638,7,1
214313,525192,29894,8,1
214314,525192,45066,9,1
361834,880375,15937,1,1
361835,880375,5539,2,0
361836,880375,10960,3,0
361837,880375,23165,4,1
361838,880375,22247,5,0
361839,880375,4853,6,0
361840,880375,27104,7,0
361841,880375,7058,8,0
361842,880375,41259,9,0
361843,880375,37803,10,0
361844,880375,48230,11,0
361845,880375,47766,12,0
361846,880375,31717,13,0
361847,880375,21903,14,1
361848,880375,25659,15,0
361849,880375,41540,16,1
361850,880375,48121,17,0
361851,880375,2846,18,0
447098,1094988,27555,1,1
447099,1094988,42347,2,1
447100,1094988,27596,3,1
447101,1094988,8834,4,1
447102,1094988,26604,5,1
447103,1094988,12075,6,1
447104,1094988,8467,7,1
447105,1094988,38988,8,1
447106,1094988,30252,9,1
447107,1094988,18926,10,1
447108,1094988,24954,11,1
447109,1094988,40571,12,1
447110,1094988,1559,13,1
447111,1094988,33754,14,1
447112,1094988,29594,15,1
447113,1094988,17600,16,1
447114,1094988,42828,17,1
447115,1094988,10132,18,1
447116,1094988,20899,19,1
447117,1094988,27973,20,1
447118,1094988,41844,21,1
447119,1094988,30967,22,1
484420,1187899,196,1,1
484421,1187899,25133,2,1
484422,1187899,38928,3,1
484423,1187899,26405,4,1
484424,1187899,39657,5,1
484425,1187899,10258,6,1
484426,1187899,13032,7,1
484427,1187899,26088,8,1
484428,1187899,27845,9,0
484429,1187899,49235,10,1
484430,1187899,46149,11,1
606747,1492625,22963,1,1
606748,1492625,7963,2,1
606749,1492625,16589,3,1
606750,1492625,32792,4,1
606751,1492625,41787,5,1
606752,1492625,22825,6,1
606753,1492625,13640,7,0
606754,1492625,24852,8,1
606755,1492625,45066,9,1
606756,1492625,9387,10,0
606757,1492625,5450,11,1
606758,1492625,24838,12,0
606759,1492625,38547,13,0
606760,1492625,19019,14,0
606761,1492625,12007,15,0
606762,1492625,26352,16,0
606763,1492625,22559,17,1
606764,1492625,45613,18,1
606765,1492625,31883,19,0
606766,1492625,12324,20,0
606767,1492625,33957,21,1
606768,1492625,5699,22,0
606769,1492625,31612,23,0
606770,1492625,34284,24,0
606771,1492625,48523,25,0
606772,1492625,2361,26,0
606773,1492625,48821,27,0
606774,1492625,11913,28,0
606775,1492625,45645,29,0
606776,1492625,1757,30,0
606777,1492625,21329,31,0
740338,1822501,29650,1,0
740339,1822501,48720,2,0
740340,1822501,24654,3,0
740341,1822501,10177,4,0
890356,2196797,15349,1,1
890357,2196797,19057,2,0
890358,2196797,16185,3,0
890359,2196797,21413,4,1
890360,2196797,20843,5,0
890361,2196797,20114,6,0
890362,2196797,48204,7,0
890363,2196797,40706,8,1
890364,2196797,21616,9,1
