,product_id,product_name,aisle_id,department_id
22,23,Organic Turkey Burgers,49,12
78,79,Wild Albacore Tuna No Salt Added,95,15
195,196,Soda,77,7
247,248,Dried Sweetened Cranberries,117,19
259,260,Cantaloupe,24,4
273,274,Snack Bags,87,17
310,311,Naturals Savory Turkey Breakfast Sausage,52,1
480,481,Black Peppercorns,104,13
518,519,Antioxidant Infusions Brasilia Blueberry,31,7
650,651,Organic Salted Butter,36,16
1004,1005,China Green Tips Green Tea,94,7
1199,1200,Vegetable Classics Vegetable Soup,69,15
1528,1529,"Parsley, Italian (Flat), New England Grown",16,4
1558,1559,Cherry Pomegranate Greek Yogurt,120,16
1756,1757,Organic Cashew Carrot Ginger Soup,69,15
1818,1819,All Natural No Stir Creamy Almond Butter,88,13
2001,2002,"The \""World's Best\"" Veggie Burger",42,1
2077,2078,Unsalted Pure Irish Butter,36,16
2360,2361,Mint Chip,37,1
2572,2573,Garlic Pepper Ramen,66,6
2706,2707,Complete™ ActionPacs™ Fresh Scent Dishwasher Detergent,74,17
2731,2732,Gluten Free Pretzel Sticks,107,19
2845,2846,Organic Green Onions,83,4
3150,3151,Super Tea Power Greens,94,7
3375,3376,Organic Whole Kernel Sweet Corn No Salt Added,81,15
3633,3634,Krinkle Cut Classic Barbecue Potato Chips,107,19
4070,4071,Organic Lemongrass Ginger Ramen,66,6
4798,4799,Shredded Parmesan,21,16
4852,4853,Broccoli Rabe,83,4
4919,4920,Seedless Red Grapes,123,4
4944,4945,Large Pineapple Chunks,123,4
4956,4957,Total 2% Lowfat Greek Strained Yogurt With Blueberry,120,16
5001,5002,Organic Iced Oatmeal Cookie ZBar,3,19
5193,5194,Organic Bunny Fruit Snacks Berry Patch,50,19
5211,5212,Watermelon Chunks,123,4
5321,5322,Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars,3,19
5449,5450,Small Hass Avocado,24,4
5538,5539,Organic SprouTofu Silken Tofu,14,20
5645,5646,Organic Turkey Bacon,106,12
5698,5699,Gluten Free Mushroom Risotto Bowl,38,1
5768,5769,Organic Chicken Stock,69,15
5817,5818,White Onion,83,4
5868,5869,Unsweetened Carob Chips,17,13
5906,5907,Apple Cinnamon Fig Bar,48,14
5998,5999,"Semi-Soft Cheese, Ripened",21,16
6140,6141,Low Sodium Beef Broth,69,15
6360,6361,Soft Potato Bread,112,3
6472,6473,Bag of Lemons,24,4
6488,6489,Backyard Barbeque Potato Chips,107,19
6807,6808,Organic Spinach & Cheese Tortellini,12,9
7057,7058,Vidalia Onions,83,4
7159,7160,Clear Cups,111,17
7349,7350,Natural Lime Flavor Sparkling Mineral Water,115,7
7502,7503,Whole Almonds,117,19
7631,7632,Old Style Whole Grain Dijon Mustard,72,13
7745,7746,Oregano,104,13
7780,7781,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,21,16
7951,7952,Chicken & Apple Breakfast Sausage,106,12
7962,7963,Gluten Free Whole Grain Bread,58,1
8020,8021,100% Recycled Paper Towels,54,17
8137,8138,Traditional Hummus,67,20
8192,8193,Russet Potato,83,4
8276,8277,Apple Honeycrisp Organic,24,4
8295,8296,OG Sesame Tamari Rice Cake Organic Rice Cakes,78,19
